date,VCB,BID,CTG,MBB,TCB,ACB,VPB,HDB,VIB,TPB,STB,SHB,LPB,SSB,MSB,OCB,NAB,BAB,KLB,PGB,VAB,VBB,SGB,ABB,BVB
2025-08-31,68.11,42.38,35.19,27.75,37.78,27.8,34.39,25.79,21.43,19.91,55.6,18.53,42.52,21.4,14.75,13.65,13.37,13.57,13.94,13.0,12.85,11.61,13.43,11.52,16.0
2025-09-30,61.55,39.56,34.84,26.2,37.07,25.5,30.56,23.9,18.87,17.95,56.9,16.66,46.78,19.3,13.15,12.65,12.25,12.63,15.7,12.01,11.6,10.94,12.3,11.24,14.1
2025-10-31,59.6,37.4,33.88,23.6,34.38,25.5,28.2,24.68,17.59,16.65,55.5,16.21,47.91,17.7,12.05,12.75,11.87,12.35,16.7,13.1,11.35,11.32,12.58,11.88,13.6
2025-11-30,57.4,37.1,33.88,23.25,33.05,24.25,28.74,24.68,17.54,17.3,48.6,16.56,45.93,17.3,13.15,12.3,11.92,11.6,15.3,12.7,10.85,10.5,12.49,13.16,13.3
2025-12-31,57.5,38.9,35.75,25.3,34.18,24.0,28.15,29.7,16.83,17.1,58.0,16.11,39.5,17.45,12.4,11.95,11.92,11.42,16.8,12.4,10.4,10.4,12.4,14.71,13.2
2026-01-31,70.5,53.9,38.75,27.2,35.16,24.1,27.51,28.3,16.88,17.2,63.0,15.77,39.36,17.15,12.4,11.8,11.79,12.07,15.2,12.4,11.3,10.6,12.6,13.9,14.0
2026-02-28,64.9,47.9,38.25,28.5,35.5,24.55,28.44,27.95,16.4,18.4,65.5,15.72,40.68,16.9,12.2,11.65,11.67,12.0,15.25,12.8,10.8,10.5,12.6,13.9,13.5
2026-03-31,58.1,39.4,34.6,26.45,30.07,23.55,26.23,25.45,16.07,16.3,62.2,15.33,39.6,16.95,11.55,11.15,10.87,11.1,13.05,12.0,10.1,10.6,12.3,14.8,12.4
2026-04-30,59.8,40.1,34.95,26.05,33.15,23.5,26.04,26.6,16.3,16.25,67.5,14.55,44.7,16.7,12.5,11.25,11.75,11.3,14.65,11.7,10.25,13.4,12.2,14.9,12.4
2026-05-31,63.7,43.0,34.8,24.8,32.55,23.55,27.0,26.4,15.9,15.6,70.0,13.7,54.0,17.2,14.45,11.2,12.25,11.1,13.95,11.0,10.15,13.0,12.0,15.5,12.3
