Parameter,Value,Is_Baseline,Portfolio,Ann_Return,Ann_Vol,Sharpe,Sortino,MDD,Calmar,Win_Rate
k_clusters,3,False,RP,0.2566576158488354,0.2714360253653761,0.8096771240342936,1.3899960239597804,-0.35715679297926856,0.7186132838406725,0.6226415094339622
k_clusters,4,True,MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314,0.6132075471698113
k_clusters,4,True,TAN,0.19198996589055528,0.2781007184932304,0.5577399844892268,0.8726621742875115,-0.515447692628095,0.37247225787676497,0.6226415094339622
k_clusters,4,True,MV,0.1624082286037618,0.2539933888926357,0.4942103165729414,0.8013081748613347,-0.38444487380269055,0.4224486777449266,0.5754716981132075
k_clusters,4,True,BL,0.2722815155047065,0.29548000456128776,0.7966679179612046,1.3132346277075597,-0.36732294826377837,0.7412592019956736,0.6132075471698113
k_clusters,4,True,BL_KIO,0.3011883613124198,0.2812834671253247,0.9396438707965763,1.6281447307321586,-0.30659365956647877,0.9823698302773056,0.6132075471698113
k_clusters,4,True,EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511,0.6226415094339622
k_clusters,4,True,RP,0.2566576158488354,0.2714360253653761,0.8096771240342936,1.3899960239597804,-0.35715679297926856,0.7186132838406725,0.6226415094339622
k_clusters,5,False,MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314,0.6132075471698113
k_clusters,5,False,TAN,0.19198996589055528,0.2781007184932304,0.5577399844892268,0.8726621742875115,-0.515447692628095,0.37247225787676497,0.6226415094339622
k_clusters,5,False,MV,0.1624082286037618,0.2539933888926357,0.4942103165729414,0.8013081748613347,-0.38444487380269055,0.4224486777449266,0.5754716981132075
k_clusters,5,False,BL,0.2722815155047065,0.29548000456128776,0.7966679179612046,1.3132346277075597,-0.36732294826377837,0.7412592019956736,0.6132075471698113
k_clusters,5,False,BL_KIO,0.3034726485515613,0.28376972183504706,0.9394609521971129,1.661356734968661,-0.3082097168119654,0.9846303734048264,0.6132075471698113
k_clusters,5,False,EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511,0.6226415094339622
k_clusters,5,False,RP,0.2566576158488354,0.2714360253653761,0.8096771240342936,1.3899960239597804,-0.35715679297926856,0.7186132838406725,0.6226415094339622
k_clusters,6,False,MKT,0.19987975901326904,0.26678661078188176,0.6262524139559091,0.973018860743471,-0.32509796375341016,0.6148293170020582,0.5866666666666667
k_clusters,6,False,TAN,0.17437324557775358,0.29377814937491,0.4818916787343758,0.7291378905537028,-0.5154476926280952,0.33829474468822,0.6
k_clusters,6,False,MV,0.13692619019975472,0.2525087066498273,0.41235089110867273,0.6242862748731701,-0.31673739384857347,0.43230194116333703,0.56
k_clusters,6,False,BL,0.24594839629894305,0.29359528338269625,0.7259803149531974,1.1511939395655568,-0.3673229482637783,0.6695699178650962,0.6
k_clusters,6,False,BL_KIO,0.31874598164434453,0.27495049314295056,1.0399762458170219,1.8277735226318461,-0.2476200697522638,1.2872380738897296,0.64
k_clusters,6,False,EW,0.2776511299674165,0.2736531370439281,0.894735330324799,1.5269003545184963,-0.36547290954562106,0.7597037228083741,0.6266666666666667
k_clusters,6,False,RP,0.26616814018600143,0.27282420396854634,0.8553645050235564,1.4380912050746075,-0.35715679297926856,0.7452417129343285,0.6266666666666667
rf_rate,4% fixed,False,MKT,0.2340326241166235,0.27049253980319304,0.7173307783563982,1.1624491927147833,-0.3250979637534103,0.7198833896546314,0.6132075471698113
rf_rate,4% fixed,False,TAN,0.192536044763163,0.2781909782738061,0.5483141319307315,0.8563540575034571,-0.5154476926280951,0.3735316842364474,0.6226415094339622
rf_rate,4% fixed,False,MV,0.1624082286037618,0.2539933888926357,0.48193470364500074,0.7791355009286601,-0.38444487380269055,0.4224486777449266,0.5754716981132075
rf_rate,4% fixed,False,BL,0.26829753505969567,0.2960096553146107,0.7712502986331715,1.2751769477978763,-0.3673229482637782,0.7304132135709326,0.6320754716981132
rf_rate,4% fixed,False,BL_KIO,0.3048843087219504,0.28273971759334626,0.9368486004605951,1.6274805171250222,-0.30604591913206186,0.9962044571173967,0.6132075471698113
rf_rate,4% fixed,False,EW,0.26615682077001446,0.27382060545998754,0.825930613914525,1.4304441370062362,-0.3654729095456211,0.7282532133528511,0.6226415094339622
rf_rate,4% fixed,False,RP,0.2566576158488354,0.2714360253653761,0.7981903491152131,1.367436840696023,-0.35715679297926856,0.7186132838406725,0.6226415094339622
